Formula for Index,Index,conceptId,Primary Source,conceptId,Secondary Source,conceptId,Current Source Question,V2 Source Question,V1 Source Question,GridID/Source Question Name,"Deprecated, New, or Revised","Date Deprecated, New, or Revised Variable Pushed to Prod",conceptId,Current Question Text,V2 Question Text,V1 Question Text,Variable Label,Variable Name,Connect Value for Select all that apply questions - Surveys Only,Variable Type,Variable Length,conceptId,Current Format/Value,R0 Format/Value,Required,PII,Notes,Derivation Notes,Dictionary,State Attribute,Default Variable,Date added or modified,GCP Document/Table,Stub Record Variable to be Retained,Question Type,IMS Review Notes
35,35,192505768,Recruitment,883203566,Sign in,,,,,,,,684926335,Henry Ford Health System Reported Race,,,HFH Reported Race,RcrtSI_HFHSRace_v1r0,,Num,2,232334767,0=African American/Black,,Yes,No,,"Required = Yes, For Henry Ford HS",Recruitment Data Dictionary,Yes,No,,Participants Table Not nested (state_d_684926335),,,
36,36,,,,,,,,,,,,,,,,,,,,,635279662,1=Caucasian/White,,,,,,,,,,,,,
37,37,,,,,,,,,,,,,,,,,,,,,401335456,"2=Other (Hispanic, Asian, American Indian/Alaskan Native, Native Hawaiian or Pacific Islander)",,,,,,,,,,,,,
38,38,,,,,,,,,,,,,,,,,,,,,178420302,77=Unavailable/Unknown,,,,,,,,,,,,,
39,39,192505768,Recruitment,883203566,Sign in,,,,,,,,527823810,Henry Ford Health System Reported Ethnicity,,,HFH Reported Eth,RcrtSI_HFHSEthnicity_v1r0,,Num,2,628733063,0=Hispanic or Latino,,Yes,No,,"Required = Yes, For Henry Ford HS",Recruitment Data Dictionary,Yes,No,,Participants Table Not nested (state_d_527823810),,,
40,40,,,,,,,,,,,,,,,,,,,,,319570637,1=Not Hispanic or Latino,,,,,,,,,,,,,
41,41,,,,,,,,,,,,,,,,,,,,,178420302,77=Unavailable/Unknown,,,,,,,,,,,,,
42,42,192505768,Recruitment,883203566,Sign in,,,,,,New,6/24/24,253532712,BSWH Reported Race/Ethnicity,,,BSWH Reported R/E,RcrtSI_BSWHRaceEth_v1r0,,Num,2,723775357,0=White non-Hispanic,,Yes,No,,"Required = Yes, For BSWH",Recruitment Data Dictionary,Yes,No,,Participants Table Not nested (state_TBD),,,
43,43,,,,,,,,,,,,,,,,,,,,,153444133,1=Black non-Hispanic,,,,,,,,,,,,,
44,44,,,,,,,,,,,,,,,,,,,,,572474909,2=Hispanic/Latino,,,,,,,,,,,,,
